Position ID,Action,Amount,Units,Open Date,Close Date,Leverage,Spread,Profit,Open Rate,Close Rate,Take profit rate,Stop lose rate,Rollover Fees and Dividends,Copied From,Type,ISIN,Notes
2316608307,Buy Ford Motor Co, 1.26 ,0.092038,04/11/2022 13:30:48,11/11/2022 15:12:12,1, 0.00 , 0.07 , 13.69 , 14.42 , 189.97 , 0.00 , 0.00 ,jaynemesis,Stocks,US3453708600,
2316441557,Buy SSE, 1.26 ,0.071386,04/11/2022 11:18:54,11/11/2022 15:10:06,1, 0.00 , 0.04 ," 1,573.00 "," 1,621.96 "," 17,226.66 ", 0.01 , 0.00 ,jaynemesis,Stocks,GB0007908733,
2316622994,Buy ProShares UltraPro Short Russell2000, 1.05 ,0.019685,04/11/2022 13:31:26,10/11/2022 15:54:58,1, 0.00 ,(0.12), 53.34 , 47.47 , 720.37 , 0.00 , 0.00 ,jaynemesis,CFD,,
2316632646,Buy SolarEdge Technologies, 1.26 ,0.005455,04/11/2022 13:31:55,10/11/2022 15:22:29,1, 0.00 , 0.26 , 230.99 , 278.40 ," 3,497.26 ", 0.00 , 0.00 ,jaynemesis,Stocks,US83417M1045,
2316633115,Buy SolarEdge Technologies, 1.26 ,0.005455,04/11/2022 13:31:56,09/11/2022 14:42:07,1, 0.00 , 0.20 , 230.99 , 266.90 ," 2,842.58 ", 0.00 , 0.00 ,jaynemesis,Stocks,US83417M1045,
2316632203,Buy Garmin Ltd., 1.26 ,0.014739,04/11/2022 13:31:53,08/11/2022 16:17:11,1, 0.00 , 0.04 , 85.49 , 87.97 ," 1,248.49 ", 0.00 , 0.00 ,jaynemesis,Stocks,CH0114405324,
2316441513,Buy Siemens Aktiengesellschaft, 1.05 ,0.009586,04/11/2022 11:18:54,08/11/2022 16:16:41,1, 0.00 , 0.05 , 111.72 , 116.64 ," 1,233.98 ", 0.01 , 0.00 ,jaynemesis,Stocks,DE0007236101,
2316641063,Buy Arrival, 1.05 ,1.502146,04/11/2022 13:32:21,07/11/2022 15:10:16,1, 0.00 ,(0.15), 0.70 , 0.60 , 19.25 , 0.60 , 0.00 ,jaynemesis,Stocks,LU2314763264,
1300072208,Buy NASDAQ100 Index," 1,000.00 ",0.063700,06/09/2021 07:56:21,04/11/2022 11:18:11,1, 0.15 ,(313.05)," 15,698.60 "," 10,784.20 ", 0.00 , 0.01 ,(37.29),-,CFD,,
1533866644,Buy NVIDIA Corporation, 40.00 ,0.143123,25/03/2022 13:30:04,01/04/2022 14:27:05,1, 0.00 ,(1.96), 279.48 , 265.80 , 0.00 , 265.83 , 0.00 ,-,Stocks,US67066G1040,
1531496995,Buy NASDAQ100 Index," 1,000.00 ",0.068281,22/03/2022 17:59:40,25/03/2022 13:39:55,1, 0.16 , 5.13 ," 14,645.45 "," 14,720.55 ", 0.00 ," 14,720.68 ",(0.30),-,CFD,,
1327637556,Buy SPDR Gold, 18.50 ,0.114050,29/09/2021 15:39:48,11/03/2022 14:30:37,1, 0.04 , 2.42 , 162.21 , 183.42 , 0.00 , 0.00 , 0.00 ,GS_Capital,CFD,,
1518337298,Buy SPDR Gold, 14.84 ,0.079675,07/03/2022 19:38:28,11/03/2022 14:30:37,1, 0.03 ,(0.23), 186.26 , 183.42 , 0.00 , 0.00 , 0.00 ,GS_Capital,CFD,,
1327636945,Buy SPDR Gold, 14.50 ,0.089396,29/09/2021 15:39:37,11/03/2022 14:30:37,1, 0.03 , 1.90 , 162.20 , 183.42 , 0.00 , 0.00 , 0.00 ,GS_Capital,CFD,,
1518337299,Buy SPDR Gold, 18.94 ,0.101687,07/03/2022 19:38:28,11/03/2022 14:30:37,1, 0.03 ,(0.29), 186.26 , 183.42 , 0.00 , 0.00 , 0.00 ,GS_Capital,CFD,,
1327638492,Buy SPDR S&P 500 ETF, 14.50 ,0.033291,29/09/2021 15:40:10,11/03/2022 14:30:35,1, 0.03 ,(0.25), 435.55 , 427.92 , 0.00 , 0.00 , 0.04 ,GS_Capital,CFD,,
